Volume of exports of major arms by region broken down by suppliers 1975-2017
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:25:23 PM

,,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,% of regional total
,United States,6456,7120,7547,5949,3144,2818,4356,4541,3587,1778,1729,4052,4415,1770,1032,2764,3484,5748,6398,5052,4130,4179,4397,5862,3819,1764,1100,1421,958,2224,3639,3089,2499,2292,1462,1328,2456,3435,3089,4777,5207,4795,5377,157037,45%
,unknown supplier(s),,0,,,24,5,10,7,,,,1,0,5,,,,,,0,,,0,,,,,0,,1,,,,,,1,2,1,1,2,1,3,,65,0%
,Yugoslavia,,,,20,,69,,,,,,,,2,18,63,447,,,,,,,,,,,,,,,,,,,,,,,,,,,620,0.2%
Unknown/not applicable,Regional total,0,0,0,0,0,30,85,86,87,87,87,87,87,87,41,0,11,11,19,5,9,3,0,4,0,0,2,0,0,0,0,0,0,12,0,8,6,0,32,33,13,32,17,977,100%
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0.1%
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,0.6%
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0%
,Germany,,,,,,3,3,4,4,4,4,4,4,4,3,,,,5,5,5,,,,,,2,,,,,,,,,,,,,,,,,52,5.3%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0.1%
,Israel,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,12,,5,5,,13,3,3,10,,52,5.3%
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0,6,0.6%
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0.3%
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,8,0.8%
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0.1%
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,8,,24,2.5%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,14,14,42,4.3%
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8,0.8%
,United States,,,,,,28,83,83,83,83,83,83,83,83,39,,11,11,14,,3,3,,4,,,,,,,,,,,,3,,,,0,0,,,774,79%
,unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0%
